Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,9,D_Small,
"MX1, MX2, MX3, MX4, MX5, MX7, MX8, MX9",SW_Alps_MX_1u,8,MX_SW_solder,
MX6,SW_Alps_MX_1.25u,1,MX_SW_solder,
S1,STAB_MX_P_ISO,1,MX_stab,
